Dance,Song Title,Artist/Group
PLK,Insecure,RaeLynn
PLK,Little Bit of Texas,Jonathan Mitchell
PLK,Locomotive,Sawyer Brown
PLK,Long Live Rock & Roll,Daughtry
PLK,Long Long Way,Alan Jackson
PLK,Lot Of Leavin' Left To Do,Dierks Bentley
PLK,Love Me Honey Do,Brigitte Boisjoli
PLK,Make You Mine,High Valley
PLK,Missin' You Crazy,Jon Pardi
PLK,No One Like You,Roger Springer Band
PLK,Old Alabama,Brad Paisley Feat Alabama
PLK,One More For The Road,Suzy Bogguss & Chet Atkins
PLK,Overrated,Tim McGraw
PLK,Road Less Travelled,Lauren Alaina
PLK,Rough & Ready,Trace Adkins
PLK,Shreveport,Turnpike Troubadours
PLK,Sic 'em On A Chicken,Zac Brown Band
PLK,Somebody Like You,Keith Urban
PLK,Something In The Water,Brooke Fraser
PLK,Somewhere Tonight,James Otto
PLK,Steal Me Away,Olivia Lane
PLK,Swingin',LeAnn Rimes
PLK,Telescope,Nashville Cast Feat Hayden Panettiere
PLK,Texas Bound And Flying,Jerry Reed
PLK,The Right To Remain Silent delete,Doug Stone
PLK,The Way You Make Me Feel,Matt Stillwell
PLK,There Ain't No Speed Limit,Leland Martin
PLK,To Be With You Again,The SteelDrivers
PLK,Trouble Knows My Name,Randy Rogers Band Feat Willie Nelson
PLK,Wake Me Up,Tebey Feat Emerson Drive
PLK,Wake Me Up (With Bridge),Tebey Feat Emerson Drive
PLK,Wake Me Up (Without Bridge),Tebey Feat Emerson Drive
PLK,We Owe Them More Than That,Roger Springer Band
PLK,West Texas Town,George Strait
PLK,What Do You See,Doc Walker
PLK,What Guy Wouldn't,Waterloo Revival
PLK,Whatcha Gonna Do With A Cowboy,Chris LeDoux
PLK,When I'm Gone,Craig Morgan
PLK,Who Wouldn't Wanna Be Me,Keith Urban
PLK,Who's Gonna Be Your Next Love,Jann Browne
PLK,You Never Know How Good You Got It,Tracy Byrd
PLK,Your Memory Wins Again,Skip Ewing
PLK,Your Smile,Josh Turner
TR2,(There's) No Gettin' Over Me,Ronnie Milsap
TR2,Ain't It Just Like Me,Kristina Cornell
TR2,All About Us,Tebey
TR2,All This Woman Needs,Rissi Palmer
TR2,All Too Well,Taylor Swift
TR2,Another Night With You,Darius Rucker
TR2,Bleed Red,Ronnie Dunn
TR2,Blue (American Idol Performance),Haley Reinhart
TR2,Boy & A Girl Thing,Mo Pitney
TR2,Busy Being Fabulous,Eagles
TR2,But I Can't Let You Go,Meredith Edwards
TR2,Colorblind,Granger Smith
TR2,Coming Home,Jessie James Decker
TR2,Crazy,Patsy Cline
TR2,Didn't We Love,Tamara Walker
TR2,Die a Happy Man,Thomas Rhett
TR2,Don't,Billy Currington
TR2,Don't It Make My Brown Eyes Blue,Crystal Gayle
TR2,Don't Know Why,Norah Jones
TR2,Don't Rush,Kelly Clarkson Feat Vince Gill
TR2,Drink On It,Blake Shelton
TR2,Easy,Sheryl Crow
TR2,Everybody,Keith Urban
TR2,Eyes On You,Chase Rice
TR2,Feels So Real,Edens Edge
TR2,Female,Keith Urban
TR2,Final Touches,Lee Greenwood
TR2,Get to You,Michael Ray
TR2,"God, Your Mama, And Me",Florida Georgia Line Feat Backstreet Boys
TR2,Got Me Where I Want You,Runaway June
TR2,Groovy Little Summer Song,James Otto
TR2,Heart Letting Go,Ronnie Dunn
TR2,Hold a Woman,Bucky Covington
TR2,Homesick,Kane Brown
TR2,I Can't Get Over You,Julie Roberts
TR2,I Can't Help Myself,Ronnie Dunn
TR2,I Can't Tell You Why,Vince Gill
TR2,I Don't Want To Hear Anymore,Eagles
TR2,I Fall to Pieces,Aaron Neville & Trisha Yearwood
TR2,I Got You,Jack Johnson
TR2,I Have and Always Will,Dave Barnes
TR2,I Know She Hung the Moon,Toby Keith
TR2,I Met A Girl,William Michael Morgan
TR2,I Want You,Sara Evans
TR2,I Will Love You Still,Darius Rucker Feat Mallory Hope
TR2,I Won't Give Up,Jana Kramer
TR2,I'm Not Gonna Do Anything Without You,Mark Wills & Jamie O'Neal
TR2,If I Told You,Darius Rucker
TR2,If I Was Your Girl,Lauren Lucas
TR2,If I Were A Boy,Reba McEntire
TR2,If She Only Knew,Kevin Sharp
TR2,In Between,Kelsea Ballerini
TR2,Indian Summer,Brooks & Dunn
TR2,It's Just That Way,Alan Jackson
TR2,Just Got Started Lovin' You,James Otto
TR2,Keep Me Forever Falling,Carmen Rasmussen
TR2,Last Call,Jamie Richards
TR2,Lead Me On,Teddy Robb
TR2,Leavin' the Light On,Darius Rucker
TR2,Long Long Time (The Voice Performance),Brennley Brown
TR2,Love Will Keep Us Alive,Eagles
TR2,Love Will Keep Us Alive,Sarah Mather
TR2,Love Wins,Ty Herndon
TR2,Marry Me,Martina McBride & Pat Monahan of Train
TR2,Marry Me,Thomas Rhett
TR2,Maybe We Will,Noah Schnacky
TR2,Maybe Your Baby's Got The Blues,The Judds
TR2,Mine All Mine,Dave Fenley
TR2,Missing You,John Waite & Alison Krauss
TR2,New Orleans Ladies,Andy Griggs
TR2,Nobody Knows,Kevin Sharp
TR2,Nothin' Fancy,Alan Jackson
TR2,Nothing In This World Will Ever Break My Heart Again,Nashville Cast Feat Hayden Panettiere
TR2,Obsessed,Dan + Shay
TR2,Old School,Chuck Wicks
TR2,Parallel Line,Keith Urban
TR2,Places I've Never Been,Mark Wills
TR2,Places In Your Heart,Meredith Edwards
TR2,Poison & Wine (Live),The Civil Wars
TR2,Rollin' With The Flow,Mark Chesnutt
TR2,Rollin' With The Flow,Mark Chestnutt
TR2,Selfish,Stephanie Quayle
TR2,Skinny Dippin',Whitney Duncan
TR2,Slow Me Down,Sara Evans
TR2,Some Things Never Change,Tim McGraw
TR2,Someday Soon,Ty Herndon
TR2,Sometimes A Song,Dan Fogelberg
TR2,Springsteen,Eric Church
TR2,Stand By Me,Mickey Gilley
TR2,Still Love You,Trace Adkins
TR2,Tell Me So,Striking Matches
TR2,Tequila On Ice,Darryl Worley
TR2,Text Me Texas,Chris Young
TR2,Thank You,Keith Urban
TR2,That's Why God Made a Front Porch,Craig Campbell
TR2,They Try,Rascal Flatts
TR2,To Be Loved By You,Wynonna Judd
TR2,Wanted,Hunter Hayes
TR2,What Happened,Bekka Branlett
TR2,When I Close My Eyes,Kenny Chesney
TR2,When You Say Nothing At All,Keith Whitely And Allison Krause
TR2,When You're Single,Chuck Wicks
TR2,Where Have I Been All My Life,George Strait
TR2,Whiskey Kinda Way,Jerrod Niemann
TR2,White Horse,Taylor Swift
TR2,Winner At a Losing Game,Rascal Flatts
TR2,With Or Without You,Sarah Darling
TR2,Woman In Love,Aaron Goodvin
TR2,Wrapped In Moonlight,Sarah Darling
TR2,You,Chris Young
TR2,You Can't Make Old Friends,Kenny Rogers Feat Dolly Parton
TR2,You Don't Know a Thing About Me,Gary Allan
TR2,You Still Do That To Me,Chris Cagle
TR2,You Still Get to Me,Clint Black Feat Lisa Hartman-Black
TR2,You Won't Ever Be Lonely,Andy Griggs
TR2,You've Got a Friend,Don Williams
WCS,(Sittin' On) The Dock Of The Bay,Garth Brooks
WCS,16 Tons,Lipbone Redding
WCS,3 Little Monkeys,Brother Yusef
WCS,40 Days And 40 Nights,Tim McGraw
WCS,634-5789,Tower of Power Feat Huey Lewis
WCS,634-5789,Trace Adkins
WCS,Ain't Back Yet,Kenny Chesney
WCS,Ain't Gonna Cry No More,Toni Lynn Washington
WCS,All Right Now,Garth Brooks
WCS,All Summer Long,Kid Rock
WCS,As Long As I'm Movin',Linda Hornbuckle
WCS,As Long As I'm Moving,Linda Hornbuckle With No Delay
WCS,Baby What You Want Me to Do,Lou Rawls
WCS,Backseat Blues,Roomful of Blues
WCS,Ballad of Skip Wiley,Jimmy Buffett
WCS,Bartender,Lady Antebellum
WCS,Beware Of The Dog,Hanne Boel
WCS,Black Cat Roun' My Do',Jackie Payne Steve Edmonson Band
